"Guid","AccountId","Comments","Description","EngineeringReqNumber__c","IsEscalated","Origin","ParentId","PotentialLiability__c","Priority","Product__c","Reason","SLAViolation__c","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","Type"
9a67937d-ec61-455f-b175-97303934c5dc,0eb5d846-a30d-4d89-a6f3-a27a8288741e,"#N/A","#N/A","#N/A",false,Web,"#N/A","#N/A",Low,"#N/A","#N/A","#N/A",Working,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
9aad7daa-c8fe-4c6d-8ebc-a549fd50e510,9501a703-d5cf-44e7-a931-0bc785826a67,"#N/A","#N/A",658733,false,Web,"#N/A",No,Low,GC1060,Feedback,No,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
a6c6e10d-fa76-4a3d-bdf2-63fdac1a2e7d,bf9c2d7f-07f6-4036-870b-e9f42ec4236b,"#N/A","#N/A",636265,false,Web,"#N/A",Yes,High,GC5060,Equipment Design,No,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
aa8c87c5-229b-486f-9baf-3702458bfce0,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A",868314,false,Web,"#N/A",No,Low,GC3040,Equipment Design,No,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
abb4d360-feea-44df-a927-9df8dad4bf90,0f3894ed-2871-4960-ad59-93b72668afae,"#N/A","#N/A",365782,false,Phone,"#N/A",Yes,Medium,GC3040,Other,No,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
ad535c2f-ec67-466b-b96a-a0dbf882a431,0eb5d846-a30d-4d89-a6f3-a27a8288741e,"#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",Medium,"#N/A","#N/A","#N/A",Escalated,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
ae29651a-bfc6-4940-869c-e8d5c0aee606,0651f388-5293-4195-b0c0-1d2f88f480be,"#N/A","#N/A",253574,false,Phone,"#N/A",No,Low,GC1020,Feedback,No,Closed,Generator assembly instructions unclear,"#N/A","#N/A","#N/A","#N/A",Other
b312a156-703b-49e2-9946-27468f740d19,bf9c2d7f-07f6-4036-870b-e9f42ec4236b,"#N/A","#N/A",237645,false,Phone,"#N/A",Yes,Medium,GC3060,Performance,No,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
bb594969-0343-4fc6-a8a8-42bced77b463,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A",767145,false,Phone,"#N/A",Yes,High,GC1060,Performance,Yes,Closed,Performance inadequate for second consecutive week,"#N/A","#N/A","#N/A","#N/A",Electrical
bc0c7114-16a8-4e25-8eb5-9db156f03741,3e83eb66-1c25-4a86-95f0-8edfd7690cdb,"#N/A","#N/A","#N/A",false,Phone,"#N/A",Yes,High,GC3020,Installation,No,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
caa37afd-c0a6-4de4-b3e8-943a6e87488b,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A","#N/A",false,Web,"#N/A",No,Low,GC3060,Installation,No,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
d0f593ba-8754-4c49-a2e1-7d0f09c53e46,31029aea-e61d-403c-9ba8-c694d7006857,"#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",Medium,"#N/A","#N/A","#N/A",New,"#N/A","#N/A",hello@world.com,"#N/A","#N/A","#N/A"
e15d8742-c44b-4b41-931d-99ad999c82fe,bee66984-8eb2-4808-8e01-0136527498a6,"#N/A","#N/A",456345,false,Web,"#N/A",No,Medium,GC5060,Performance,No,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
e262ea22-9231-4768-a6db-cb77c7002b0c,0ef6dc69-b6a3-472f-8860-01818a5d37a9,"#N/A","#N/A","#N/A",false,Web,"#N/A",No,Low,GC1020,Installation,No,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
ef33b7b6-8d01-473b-9e4d-f01a29eccfdc,f4dc2bde-54a6-4b56-ba9d-21027ea26e16,"#N/A","#N/A",736734,false,Web,"#N/A",No,Medium,GC1040,Equipment Complexity,No,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
f285117c-c9ea-441f-9b04-d181de07c7f2,f4dc2bde-54a6-4b56-ba9d-21027ea26e16,"#N/A","#N/A",765876,false,Phone,"#N/A",No,High,GC5040,Equipment Complexity,No,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
f3994276-295d-4f43-82c0-4e2fc41403b1,0ef6dc69-b6a3-472f-8860-01818a5d37a9,"#N/A","#N/A",653780,false,Phone,"#N/A",Yes,Medium,GC1060,Performance,No,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
